minute,mid,bid,ask,signal,quoted_bid,quoted_ask
0,98.45578744462803,98.43078744462802,98.48078744462804,0.0,98.43078744462802,98.48078744462804
1,98.1668216638452,98.14182166384519,98.1918216638452,0.0,98.14182166384519,98.1918216638452
2,98.09566204855784,98.07066204855784,98.12066204855785,0.0,98.07066204855784,98.12066204855785
3,96.76291730617149,96.73791730617148,96.7879173061715,0.0,96.73791730617148,96.7879173061715
4,96.20860023517854,96.18360023517853,96.23360023517854,0.0,96.18360023517853,96.23360023517854
5,95.60352180898263,95.57852180898263,95.62852180898264,-0.9867247374709924,95.55878731423321,95.60878731423323
6,96.83724285243672,96.81224285243671,96.86224285243672,-0.893514002570477,96.7943725723853,96.84437257238531
7,95.59103861529911,95.5660386152991,95.61603861529912,-0.9995133752509848,95.54604834779408,95.5960483477941
8,93.16831205365607,93.14331205365606,93.19331205365607,-0.9886583658063011,93.12353888633993,93.17353888633994
9,92.74424819486426,92.71924819486425,92.76924819486426,-0.9622052849785577,92.70000408916468,92.75000408916469
10,92.84466614465772,92.81966614465772,92.86966614465773,-0.9014248189570296,92.80163764827857,92.85163764827858
11,92.92356564728625,92.89856564728625,92.94856564728626,-0.9969901125350874,92.87862584503554,92.92862584503555
12,94.10669439933811,94.0816943993381,94.13169439933812,-0.9906947687775722,94.06188050396256,94.11188050396257
13,93.91548097423093,93.89048097423093,93.94048097423094,0.8178983941860106,93.90683894211465,93.95683894211466
14,92.72151767897002,92.69651767897001,92.74651767897002,-0.034718297220111854,92.69582331302561,92.74582331302562
15,92.7868543516359,92.76185435163589,92.8118543516359,-0.08671875956271596,92.76011997644464,92.81011997644465
16,93.30014205882429,93.27514205882429,93.3251420588243,0.5330304763373577,93.28580266835104,93.33580266835105
17,94.13608545132463,94.11108545132463,94.16108545132464,0.04573148863527088,94.11200008109734,94.16200008109735
18,93.37557813745025,93.35057813745024,93.40057813745025,-0.7390684243294608,93.33579676896365,93.38579676896366
19,93.81153453381702,93.78653453381702,93.83653453381703,0.9712224146465674,93.80595898210996,93.85595898210997
20,95.17663345494942,95.15163345494942,95.20163345494943,0.9962942263346439,95.17155933947612,95.22155933947613
21,95.59487402776188,95.56987402776187,95.61987402776188,0.9853661650806812,95.58958135106349,95.6395813510635
22,96.56543552355524,96.54043552355523,96.59043552355524,0.9524527924158269,96.55948457940355,96.60948457940356
23,95.91476126212002,95.88976126212002,95.93976126212003,0.9857405098749075,95.90947607231752,95.95947607231753
24,94.82351600569902,94.79851600569901,94.84851600569903,0.9057761530221431,94.81663152875946,94.86663152875947
25,94.81145475243152,94.78645475243151,94.83645475243152,-0.45269960332672843,94.77740076036497,94.82740076036498
26,95.043797930641,95.018797930641,95.06879793064101,-0.6093833567894501,95.00661026350521,95.05661026350522
27,94.11081835776125,94.08581835776124,94.13581835776125,-0.9989777159411766,94.06583880344242,94.11583880344243
28,94.39653721914863,94.37153721914862,94.42153721914863,-0.9993786346755553,94.35154964645511,94.40154964645512
29,94.13794318642141,94.1129431864214,94.16294318642142,-0.9296090951687035,94.09435100451803,94.14435100451804
30,94.19656254819951,94.1715625481995,94.22156254819951,-0.9186549767001052,94.1531894486655,94.20318944866551
31,94.87438681163331,94.84938681163331,94.89938681163332,-0.48840754001478537,94.83961866083301,94.88961866083302
32,93.69414117709863,93.66914117709862,93.71914117709863,-0.7495340735635126,93.65415049562735,93.70415049562736
33,94.33168660623848,94.30668660623847,94.35668660623848,-0.15158414053719804,94.30365492342773,94.35365492342774
34,93.70615765980813,93.68115765980812,93.73115765980813,-0.7061568720228064,93.66703452236767,93.71703452236768
35,95.78998319565804,95.76498319565803,95.81498319565804,0.9475356121162672,95.78393390790036,95.83393390790037
36,95.81154892242417,95.78654892242416,95.83654892242417,0.7056112573086265,95.80066114757034,95.85066114757035
37,95.09555715988583,95.07055715988582,95.12055715988583,0.9087671671506145,95.08873250322884,95.13873250322885
38,95.54746909838187,95.52246909838186,95.57246909838187,0.881940639426518,95.5401079111704,95.5901079111704
